Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF6CV,8PF6CV,9,8,-4,-1,0,1,4,A,B,A,A,B,E,SR_X-4Y-1,94.11724
8PF6CV,8PF6CV,10,7,-4,-1,1,0,2,A,B,A,A,B,E,SR_X-4Y-1,94.26847
8PF6CV,8PF6CV,10,8,-4,-1,1,1,5,A,B,A,A,B,E,SR_X-4Y-1,87.68905
8PF6CV,8PF6CV,11,7,-4,-1,2,0,3,A,B,A,A,B,E,SR_X-4Y-1,88.38186
8PF6CV,8PF6CV,11,8,-4,-1,2,1,6,A,B,A,A,B,E,SR_X-4Y-1,81.3276
8PF6CV,8PF6CV,9,7,-4,-1,0,0,1,A,C,A,A,B,E,SR_X-4Y-1,100.27577
8PF6CV,8PF6CV,9,10,-4,0,0,1,4,A,B,C,A,C,D,SR_X-4Y0,88.88372
8PF6CV,8PF6CV,10,9,-4,0,1,0,2,A,B,A,A,B,E,SR_X-4Y0,83.4929
8PF6CV,8PF6CV,10,10,-4,0,1,1,5,A,B,C,A,C,D,SR_X-4Y0,82.04651
8PF6CV,8PF6CV,11,9,-4,0,2,0,3,A,B,A,A,B,E,SR_X-4Y0,76.78459
8PF6CV,8PF6CV,11,10,-4,0,2,1,6,A,B,C,A,C,D,SR_X-4Y0,75.2093
8PF6CV,8PF6CV,9,9,-4,0,0,0,1,A,B,A,A,B,E,SR_X-4Y0,90.22057
8PF6CV,8PF6CV,9,12,-4,1,0,1,4,A,C,C,A,C,D,SR_X-4Y1,94.11724
8PF6CV,8PF6CV,10,11,-4,1,1,0,2,A,B,C,A,C,D,SR_X-4Y1,83.4929
8PF6CV,8PF6CV,10,12,-4,1,1,1,5,A,B,C,A,C,D,SR_X-4Y1,87.68905
8PF6CV,8PF6CV,11,11,-4,1,2,0,3,A,B,C,A,C,D,SR_X-4Y1,76.78459
8PF6CV,8PF6CV,11,12,-4,1,2,1,6,A,B,C,A,C,D,SR_X-4Y1,81.3276
8PF6CV,8PF6CV,9,11,-4,1,0,0,1,A,B,C,A,C,D,SR_X-4Y1,90.22057
8PF6CV,8PF6CV,9,14,-4,2,0,1,4,A,C,C,C,C,D,SR_X-4Y2,108.311
8PF6CV,8PF6CV,10,13,-4,2,1,0,2,A,C,C,A,C,D,SR_X-4Y2,94.26847
