Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF5CV,8PF5CV,10,2,-2,-4,0,1,3,B,D,A,D,A,F,SR_X-2Y-4,131.2285
8PF5CV,8PF5CV,11,1,-2,-4,1,0,2,B,E,A,D,A,F,SR_X-2Y-4,143.04314
8PF5CV,8PF5CV,11,2,-2,-4,1,1,4,B,D,A,D,A,F,SR_X-2Y-4,128.02713
8PF5CV,8PF5CV,10,4,-2,-3,0,1,3,B,C,A,A,A,F,SR_X-2Y-3,102.55117
8PF5CV,8PF5CV,11,3,-2,-3,1,0,2,B,C,A,D,A,F,SR_X-2Y-3,113.13453
8PF5CV,8PF5CV,11,4,-2,-3,1,1,4,B,B,A,A,A,F,SR_X-2Y-3,98.42138
8PF5CV,8PF5CV,10,3,-2,-3,0,0,1,B,C,A,D,A,F,SR_X-2Y-3,116.74501
8PF5CV,8PF5CV,10,6,-2,-2,0,1,3,B,B,A,A,B,F,SR_X-2Y-2,75.68385
8PF5CV,8PF5CV,11,5,-2,-2,1,0,2,B,B,A,A,B,F,SR_X-2Y-2,83.98204
8PF5CV,8PF5CV,11,6,-2,-2,1,1,4,B,A,A,A,B,F,SR_X-2Y-2,69.98621
8PF5CV,8PF5CV,10,5,-2,-2,0,0,1,B,B,A,A,B,F,SR_X-2Y-2,88.78603
8PF5CV,8PF5CV,10,8,-2,-1,0,1,3,B,A,A,A,B,E,SR_X-2Y-1,53.43057
8PF5CV,8PF5CV,11,7,-2,-1,1,0,2,B,A,A,A,B,F,SR_X-2Y-1,56.76289
8PF5CV,8PF5CV,11,8,-2,-1,1,1,4,B,A,A,A,B,E,SR_X-2Y-1,44.99834
8PF5CV,8PF5CV,10,7,-2,-1,0,0,1,B,A,A,A,B,F,SR_X-2Y-1,63.65533
8PF5CV,8PF5CV,10,10,-2,0,0,1,3,B,A,C,A,C,D,SR_X-2Y0,43.55556
8PF5CV,8PF5CV,11,9,-2,0,1,0,2,B,A,A,A,B,E,SR_X-2Y0,36.14618
8PF5CV,8PF5CV,11,10,-2,0,1,1,4,B,A,C,A,C,D,SR_X-2Y0,32.66667
8PF5CV,8PF5CV,10,9,-2,0,0,0,1,B,A,A,A,B,E,SR_X-2Y0,46.22252
8PF5CV,8PF5CV,10,12,-2,1,0,1,3,B,A,C,A,C,D,SR_X-2Y1,53.43057
8PF5CV,8PF5CV,11,11,-2,1,1,0,2,B,A,C,A,C,D,SR_X-2Y1,36.14618
8PF5CV,8PF5CV,11,12,-2,1,1,1,4,B,A,C,A,C,C,SR_X-2Y1,44.99834
8PF5CV,8PF5CV,10,11,-2,1,0,0,1,B,A,C,A,C,D,SR_X-2Y1,46.22252
8PF5CV,8PF5CV,10,14,-2,2,0,1,3,B,B,C,A,C,C,SR_X-2Y2,75.68385
8PF5CV,8PF5CV,11,13,-2,2,1,0,2,B,A,C,A,C,C,SR_X-2Y2,56.76289
8PF5CV,8PF5CV,11,14,-2,2,1,1,4,B,B,C,A,C,C,SR_X-2Y2,69.98621
