WAT naming,Device naming,Spec High,Target,Spec Low,Unit,NVL816,Naming1,Naming2,Naming
Isat_CBA,Isat HC Cell,,46.4,,uA/cell,V,HC Cell,,Isat HC Cell
Isb_CB,Isb HC Cell,,4.95e-11,,A/cell,V,HC Cell,,Isb HC Cell
Poff_RA4e,Poff H130_W19 eLV,,0.000003,,W,,H130_W19,eLV,Poff H130_W19 eLV
Td_RA4e,RO H130_W19 eLV,,5.87,,ps,,H130_W19,eLV,RO H130_W19 eLV
Pwr_RA4e,Pwr H130_W19 eLV,,0.000237,,W,,H130_W19,eLV,Pwr H130_W19 eLV
Poff_RA4u,Poff H130_W19 uLV,,0.000000852,,W,V,H130_W19,uLV,Poff H130_W19 uLV
Td_RA4u,RO H130_W19 uLV,,6.41,,ps,V,H130_W19,uLV,RO H130_W19 uLV
Pwr_RA4u,Pwr H130_W19 uLV,,0.000194,,W,V,H130_W19,uLV,Pwr H130_W19 uLV
Poff_RA4A,Poff H130_W19 uLL,,0.00000026,,W,V,H130_W19,uLL,Poff H130_W19 uLL
Td_RA4A,RO H130_W19 uLL,,7.06,,ps,V,H130_W19,uLL,RO H130_W19 uLL
Pwr_RA4A,Pwr H130_W19 uLL,,0.000165,,W,V,H130_W19,uLL,Pwr H130_W19 uLL
Poff_RA4L,Poff H130_W19 LVT,,0.000000086,,W,V,H130_W19,LVT,Poff H130_W19 LVT
Td_RA4L,RO H130_W19 LVT,,7.87,,ps,V,H130_W19,LVT,RO H130_W19 LVT
Pwr_RA4L,Pwr H130_W19 LVT,,0.000142,,W,V,H130_W19,LVT,Pwr H130_W19 LVT
Poff_RA4B,Poff H130_W19 LLL,,0.0000000346,,W,V,H130_W19,LLL,Poff H130_W19 LLL
Td_RA4B,RO H130_W19 LLL,,8.97,,ps,V,H130_W19,LLL,RO H130_W19 LLL
Pwr_RA4B,Pwr H130_W19 LLL,,0.000122,,W,V,H130_W19,LLL,Pwr H130_W19 LLL
Poff_RA4S,Poff H130_W19 SVT,,0.000000018,,W,V,H130_W19,SVT,Poff H130_W19 SVT
Td_RA4S,RO H130_W19 SVT,,10.48,,ps,V,H130_W19,SVT,RO H130_W19 SVT
Pwr_RA4S,Pwr H130_W19 SVT,,0.000103,,W,V,H130_W19,SVT,Pwr H130_W19 SVT
Poff_RJ4e,Poff H156_W32 eLV,,0.00000824,,W,,H156_W32,eLV,Poff H156_W32 eLV
Td_RJ4e,RO H156_W32 eLV,,5.01,,ps,,H156_W32,eLV,RO H156_W32 eLV
Pwr_RJ4e,Pwr H156_W32 eLV,,0.000375,,W,,H156_W32,eLV,Pwr H156_W32 eLV
Poff_RJ4u,Poff H156_W32 uLV,,0.00000231,,W,V,H156_W32,uLV,Poff H156_W32 uLV
Td_RJ4u,RO H156_W32 uLV,,5.45,,ps,V,H156_W32,uLV,RO H156_W32 uLV
Pwr_RJ4u,Pwr H156_W32 uLV,,0.000301,,W,V,H156_W32,uLV,Pwr H156_W32 uLV
